settlement_id,_gt_txn_id,_split
STL-000000-0,GT-000000,val
STL-000001-0,GT-000001,train
STL-000002-0,GT-000002,train
STL-000003-0,GT-000003,val
STL-000004-0,GT-000004,train
STL-000005-0,GT-000005,val
STL-000006-0,GT-000006,train
STL-000007-0,GT-000007,test
STL-000008-0,GT-000008,train
STL-000009-0,GT-000009,test
STL-000011-0,GT-000011,train
STL-000012-0,GT-000012,test
STL-000013-0,GT-000013,val
STL-000014-0,GT-000014,train
STL-000015-0,GT-000015,train
STL-000016-0,GT-000016,val
STL-000017-0,GT-000017,train
STL-000018-0,GT-000018,val
STL-000021-0,GT-000021,train
STL-000022-0,GT-000022,train
STL-000022-1,GT-000022,train
STL-000022-2,GT-000022,train
STL-000023-0,GT-000023,train
STL-000024-0,GT-000024,train
STL-000025-0,GT-000025,test
STL-000026-0,GT-000026,val
STL-000027-0,GT-000027,train
STL-000028-0,GT-000028,train
STL-000029-0,GT-000029,train
STL-000030-0,GT-000030,train
STL-000031-0,GT-000031,train
STL-000032-0,GT-000032,train
STL-000032-1,GT-000032,train
STL-000032-2,GT-000032,train
STL-000033-0,GT-000033,train
STL-000034-0,GT-000034,train
STL-000036-0,GT-000036,train
STL-000037-0,GT-000037,train
STL-000038-0,GT-000038,val
STL-000038-1,GT-000038,val
STL-000038-2,GT-000038,val
STL-000039-0,GT-000039,train
STL-000040-0,GT-000040,train
STL-000041-0,GT-000041,train
STL-000042-0,GT-000042,train
STL-000044-0,GT-000044,train
STL-000045-0,GT-000045,train
STL-000046-0,GT-000046,val
STL-000047-0,GT-000047,train
STL-000048-0,GT-000048,val
STL-000049-0,GT-000049,train
STL-000051-0,GT-000051,test
STL-000052-0,GT-000052,train
STL-000053-0,GT-000053,train
STL-000054-0,GT-000054,train
STL-000055-0,GT-000055,train
STL-000057-0,GT-000057,train
STL-000058-0,GT-000058,train
STL-000060-0,GT-000060,train
STL-000062-0,GT-000062,train
STL-000063-0,GT-000063,test
STL-000064-0,GT-000064,val
STL-000065-0,GT-000065,train
STL-000066-0,GT-000066,val
STL-000067-0,GT-000067,val
STL-000068-0,GT-000068,train
STL-000069-0,GT-000069,train
STL-000070-0,GT-000070,val
STL-000071-0,GT-000071,train
STL-000071-1,GT-000071,train
STL-000072-0,GT-000072,train
STL-000073-0,GT-000073,train
STL-000074-0,GT-000074,val
STL-000076-0,GT-000076,train
STL-000077-0,GT-000077,train
STL-000078-0,GT-000078,test
STL-000078-1,GT-000078,test
STL-000078-2,GT-000078,test
STL-000079-0,GT-000079,val
STL-000080-0,GT-000080,train
STL-000081-0,GT-000081,train
STL-000082-0,GT-000082,train
STL-000083-0,GT-000083,train
STL-000084-0,GT-000084,train
STL-000085-0,GT-000085,train
STL-000088-0,GT-000088,train
STL-000089-0,GT-000089,train
STL-000090-0,GT-000090,val
STL-000092-0,GT-000092,train
STL-000093-0,GT-000093,train
STL-000095-0,GT-000095,train
STL-000096-0,GT-000096,train
STL-000097-0,GT-000097,test
STL-000097-1,GT-000097,test
STL-000097-2,GT-000097,test
STL-000098-0,GT-000098,train
STL-000099-0,GT-000099,train
STL-000100-0,GT-000100,train
STL-000101-0,GT-000101,test
STL-000102-0,GT-000102,train
STL-000103-0,GT-000103,train
STL-000104-0,GT-000104,train
STL-000105-0,GT-000105,test
STL-000106-0,GT-000106,train
STL-000107-0,GT-000107,test
STL-000108-0,GT-000108,test
STL-000109-0,GT-000109,train
STL-000110-0,GT-000110,train
STL-000111-0,GT-000111,train
STL-000112-0,GT-000112,train
STL-000113-0,GT-000113,train
STL-000114-0,GT-000114,train
STL-000115-0,GT-000115,train
STL-000116-0,GT-000116,train
STL-000117-0,GT-000117,test
STL-000118-0,GT-000118,train
STL-000119-0,GT-000119,train
STL-000120-0,GT-000120,val
STL-000121-0,GT-000121,train
STL-000122-0,GT-000122,train
STL-000123-0,GT-000123,train
STL-000124-0,GT-000124,val
STL-000125-0,GT-000125,train
STL-000125-1,GT-000125,train
STL-000125-2,GT-000125,train
STL-000126-0,GT-000126,train
STL-000127-0,GT-000127,train
STL-000128-0,GT-000128,train
STL-000129-0,GT-000129,train
STL-000130-0,GT-000130,val
STL-000131-0,GT-000131,train
STL-000132-0,GT-000132,test
STL-000133-0,GT-000133,test
STL-000133-1,GT-000133,test
STL-000134-0,GT-000134,train
STL-000135-0,GT-000135,train
STL-000136-0,GT-000136,train
STL-000137-0,GT-000137,train
STL-000138-0,GT-000138,train
STL-000139-0,GT-000139,train
STL-000140-0,GT-000140,train
STL-000141-0,GT-000141,val
STL-000143-0,GT-000143,val
STL-000144-0,GT-000144,test
STL-000145-0,GT-000145,test
